job_id,permit_type,permit_subtype,work_type,job_type,filing_status,filing_date,borough,community_board,residential,bldg_type,zip_code
322105262,EQ,OT,EQ,DM,RENEWAL,2023-11-08,BROOKLYN,306,,2,11231
520366942,PL,,PL,NB,INITIAL,2023-11-09,STATEN ISLAND,501,,2,10303
500289234,EQ,FN,EQ,A3,RENEWAL,2023-11-09,STATEN ISLAND,501,,1,10304
500081092,NB,,,NB,RENEWAL,2023-11-09,STATEN ISLAND,501,YES,1,10304
500081083,NB,,,NB,RENEWAL,2023-11-09,STATEN ISLAND,501,YES,1,10304
123059956,EW,OT,OT,A2,RENEWAL,2023-11-09,MANHATTAN,102,YES,2,10012
440799851,EW,OT,OT,A2,INITIAL,2023-11-13,QUEENS,414,YES,1,11691
340906096,EW,OT,OT,A2,INITIAL,2023-11-14,BROOKLYN,318,YES,1,11236
440805489,EW,OT,OT,A2,RENEWAL,2023-11-14,QUEENS,404,YES,1,11368
121986958,PL,,PL,A2,RENEWAL,2023-11-14,MANHATTAN,111,YES,2,10029
140942265,EW,OT,OT,A2,RENEWAL,2023-11-14,MANHATTAN,110,YES,2,10030
123797169,EW,OT,OT,A2,RENEWAL,2023-11-14,MANHATTAN,106,,2,10010
321572981,AL,,,A1,RENEWAL,2023-11-15,BROOKLYN,303,YES,1,11205
321805855,FO,,,NB,RENEWAL,2023-11-15,BROOKLYN,301,YES,2,11222
321598357,AL,,,A1,RENEWAL,2023-11-15,BROOKLYN,317,YES,2,11203
421940467,FO,,,NB,RENEWAL,2023-11-15,QUEENS,412,YES,1,11435
420170745,PL,,PL,A2,RENEWAL,2023-11-15,QUEENS,403,YES,1,11368
122418883,PL,,PL,A1,RENEWAL,2023-11-15,MANHATTAN,104,YES,2,10001
321791879,PL,,PL,NB,INITIAL,2023-11-16,BROOKLYN,301,YES,2,11222
340904846,EW,OT,OT,A2,INITIAL,2023-11-16,BROOKLYN,303,YES,1,11221
120990963,EW,OT,OT,A2,RENEWAL,2023-11-17,MANHATTAN,107,YES,2,10025
140685701,EW,FS,FS,A2,RENEWAL,2023-11-17,MANHATTAN,104,YES,2,10011
